      mode        phs vel       w(mhz)          t(secs)      grp vel(km/s)        q             raylquo
    0     2    4.688737        1.073968        931.1268        6.873333        454.2542       0.8313947E-06
    1     2    8.373035        1.917866        521.4129        6.848898        1280.038       0.4584126E-06
    2     2    13.63876        3.123993        320.1031        7.382061        554.0242      -0.1559536E-05
    3     2    17.46489        4.000379        249.9763        9.180155        637.0738      -0.3544570E-06
    4     2    18.71024        4.285630        233.3379        8.263668        658.5572      -0.9874932E-06
    5     2    23.25900        5.327535        187.7041        5.498230        556.4876       0.6993418E-06
    6     2    27.60345        6.322643        158.1617        8.536073        575.4900      -0.9725866E-06
    7     2    27.98616        6.410304        155.9988        10.48009        667.3652      -0.9899657E-06
    8     2    32.22895        7.382127        135.4623        5.422299        587.4840      -0.4244811E-06
    9     2    36.63765        8.391951        119.1618        7.888706        571.3943      -0.2290470E-05
   10     2    38.22805        8.756235        114.2043        11.90272        654.6500      -0.2363136E-05
   11     2    41.72236        9.556616        104.6395        7.630857        598.2508      -0.4809781E-06
   12     2    43.22438        9.900658        101.0034        12.18487        673.2405      -0.2497284E-05
   13     2    46.59562        10.67285        93.69569        7.868815        576.0448      -0.7476692E-06
   14     2    51.08925        11.70213        85.45454        5.720566        585.0727      -0.5911543E-06
   15     2    51.72647        11.84809        84.40182        10.07214        719.9042      -0.5023495E-06
   16     2    55.61873        12.73962        78.49530        7.267471        612.0295      -0.1307808E-06
   17     2    59.85562        13.71009        72.93899        6.215941        576.4090      -0.8200965E-06
   18     2    61.23978        14.02713        71.29040        11.14854        763.0401      -0.4218662E-05
   19     2    64.81136        14.84521        67.36177        4.980364        555.2355      -0.2647572E-06
   20     2    69.01107        15.80717        63.26244        13.27030        799.9593      -0.4741296E-05
   21     2    69.68724        15.96205        62.64861        7.168707        616.8283      -0.2313802E-05
   22     2    73.43797        16.82116        59.44893        6.490813        585.3687      -0.3760016E-06
   23     2    76.93211        17.62150        56.74884        10.90069        767.9817       0.6035456E-08
   24     2    78.72189        18.03146        55.45863        4.231561        553.4631       0.1207370E-06
   25     2    83.41048        19.10539        52.34124        7.956294        630.6632      -0.3788293E-06
   26     2    85.83266        19.66020        50.86419        10.54017        774.2083      -0.3908887E-05
   27     2    87.20317        19.97412        50.06479        6.133015        597.6351      -0.1745869E-06
   28     2    92.46770        21.17997        47.21442        4.152524        562.3445       0.5217915E-06
   29     2    94.24200        21.58638        46.32551        11.32003        805.4487      -0.5327810E-05
   30     2    96.91069        22.19765        45.04981        7.772011        629.5310       0.4306945E-06
   31     2    101.0039        23.13521        43.22415        5.584894        592.4984       0.5155632E-06
   32     2    102.5155        23.48145        42.58681        11.44020        815.4625      -0.1658071E-06
   33     2    105.7880        24.23103        41.26940        5.304505        568.8642       0.8712252E-06
   34     2    110.2429        25.25142        39.60174        6.135075        619.4483       0.4824327E-07
   35     2    111.0339        25.43261        39.31960        10.36493        769.8425      -0.2305499E-05
   36     2    114.7236        26.27774        38.05502        7.101716        618.9248       0.6718512E-06
   37     2    118.7902        27.20920        36.75228        5.334815        584.1603       0.2623422E-06
   38     2    119.5717        27.38822        36.51205        10.20900        778.8913      -0.5046519E-05
   39     2    123.9848        28.39906        35.21244        4.668858        590.6418       0.6619262E-06
   40     2    127.9616        29.30994        34.11812        11.37884        825.2944      -0.1166447E-05
   41     2    128.2114        29.36716        34.05164        8.640829        653.1178      -0.2097644E-06
   42     2    132.1888        30.27819        33.02707        4.458604        572.6019       0.7326392E-06
   43     2    136.0598        31.16485        32.08743        11.03504        798.4826      -0.1356130E-05
   44     2    137.7203        31.54521        31.70054        4.597170        577.1999       0.6400946E-06
   45     2    141.6292        32.44054        30.82563        8.617575        649.1561       0.5510571E-06
   46     2    144.6383        33.12979        30.18431        9.957410        810.0624      -0.5059632E-05
   47     2    145.9967        33.44094        29.90347        4.240059        571.6685       0.3149099E-06
   48     2    151.2091        34.63485        28.87265        5.311224        570.2351       0.7144450E-06
   49     2    153.1876        35.08801        28.49976        11.30677        837.3232      -0.1735628E-05
   50     2    155.2582        35.56231        28.11966        7.181991        624.1895       0.4539100E-06
   51     2    159.7887        36.60003        27.32238        5.411403        582.2762       0.5030704E-06
   52     2    161.1185        36.90463        27.09687        11.43690        820.6471      -0.2438170E-06
   53     2    164.4182        37.66042        26.55308        5.210467        563.0815       0.6351775E-06
   54     2    169.1763        38.75028        25.80626        6.034189        608.8088      -0.4160083E-05
   55     2    169.6089        38.84936        25.74045        9.608795        816.4772      -0.4069393E-05
   56     2    173.3207        39.69958        25.18919        7.151835        596.9567       0.5545650E-06
   57     2    177.8135        40.72865        24.55274        5.677360        617.4367      -0.6540071E-06
   58     2    178.3163        40.84381        24.48351        9.138459        721.7503      -0.2001590E-05
   59     2    183.2580        41.97573        23.82329        6.511263        610.8098       0.3286730E-06
   60     2    186.0067        42.60534        23.47124        11.60691        839.9758       0.5056496E-06
   61     2    186.8080        42.78887        23.37056        7.330603        607.6879       0.4064103E-06
   62     2    191.9501        43.96669        22.74449        3.492092        553.3512       0.1578934E-06
   63     2    194.3419        44.51452        22.46458        9.593646        826.5077      -0.3407245E-05
   64     2    196.9948        45.12218        22.16205        7.522197        619.2533       0.4634594E-06
   65     2    200.6403        45.95718        21.75938        6.173859        602.0954       0.1408647E-06
   66     2    202.9127        46.47768        21.51570        10.36621        823.2454      -0.3896118E-05
   67     2    205.9224        47.16707        21.20123        4.265655        555.1501       0.3551585E-06
   68     2    210.4488        48.20387        20.74522        6.912368        601.7483       0.5036562E-06
   69     2    210.8560        48.29713        20.70516        11.58011        843.8157       0.3957011E-06
   70     2    214.7430        49.18746        20.33039        6.072040        602.3946       0.2201935E-06
   71     2    218.9620        50.15383        19.93866        9.387417        779.7170      -0.2424025E-05
   72     2    219.3834        50.25035        19.90036        6.041450        590.3129       0.1289433E-09
   73     2    224.1057        51.33201        19.48102        4.891538        576.9139       0.2945145E-06
   74     2    227.5780        52.12734        19.18379        10.09280        827.7077      -0.4799719E-05
   75     2    228.6562        52.37431        19.09333        7.710335        626.6651      -0.6806979E-06
   76     2    232.6353        53.28574        18.76675        4.858882        566.7167       0.5030487E-06
   77     2    235.7952        54.00952        18.51526        11.48865        838.0062       0.3751190E-06
   78     2    238.0654        54.52950        18.33870        4.132080        571.9115       0.3000741E-06
   79     2    242.2093        55.47868        18.02494        8.947007        649.9272       0.5624660E-06
   80     2    243.8905        55.86376        17.90069        10.75203        824.7930       0.1405777E-06
   81     2    246.3842        56.43495        17.71952        3.928677        564.8318       0.3315201E-06
   82     2    251.8842        57.69475        17.33260        4.915032        579.8626       0.5580674E-06
   83     2    252.4506        57.82447        17.29372        9.754527        818.1930      -0.3367377E-06
   84     2    255.7357        58.57694        17.07156        8.187202        642.8993       0.4325238E-06
   85     2    260.2653        59.61445        16.77446        4.472214        576.9096       0.3905920E-06
   86     2    260.9490        59.77106        16.73051        10.94544        815.1418       0.9324837E-07
   87     2    265.2567        60.75774        16.45881        5.503243        572.8505       0.6194149E-06
   88     2    268.9576        61.60544        16.23233        10.99789        806.6070      -0.2072359E-07
   89     2    269.5275        61.73599        16.19801        6.832741        628.1735       0.1616107E-06
   90     2    273.9386        62.74636        15.93718        5.958387        586.6427       0.5011218E-06
   91     2    277.4801        63.55754        15.73377        9.587655        812.5614      -0.5676943E-06
   92     2    278.4876        63.78833        15.67685        4.781833        565.9707       0.4429518E-06
   93     2    283.4773        64.93122        15.40091        6.040360        608.6971       0.2427769E-06
   94     2    286.1939        65.55347        15.25472        10.87539        825.7148      -0.2649636E-06
   95     2    287.3013        65.80712        15.19592        7.371381        607.9174       0.4391210E-06
   96     2    292.1598        66.91999        14.94322        3.440493        555.9906       0.2838550E-06
   97     2    294.2671        67.40267        14.83621        11.73013        823.0673      -0.6000398E-07
   98     2    297.3794        68.11554        14.68094        7.115930        616.8041       0.3493053E-06
   99     2    300.8595        68.91267        14.51112        6.698060        605.2756       0.3532871E-06
  100     2    302.7215        69.33917        14.42186        9.768254        811.2460      -0.6414522E-06
  101     2    306.1901        70.13365        14.25849        3.464917        552.8875       0.2250688E-06
  102     2    310.9534        71.22469        14.04008        7.682070        616.4952       0.5955514E-06
  103     2    311.5373        71.35845        14.01376        10.66247        823.4537      -0.6962838E-06
  104     2    314.8582        72.11911        13.86595        5.730134        594.7957       0.9007820E-07
  105     2    319.6389        73.21414        13.65856        11.87238        825.9944      -0.1503336E-06
  106     2    319.9658        73.28901        13.64461        4.759582        556.4235       0.4144350E-06
  107     2    324.4815        74.32334        13.45472        6.170651        590.2404       0.2826640E-06
  108     2    328.0381        75.13799        13.30885        9.902999        811.0342      -0.4108086E-06
  109     2    328.9812        75.35401        13.27069        6.542758        604.7321      -0.6743156E-08
  110     2    333.3168        76.34710        13.09807        5.250884        557.9850      -0.2627406E-06
  111     2    336.8660        77.16004        12.96008        10.30890        816.9142      -0.4542316E-06
  112     2    338.4591        77.52496        12.89907        4.678650        572.2410      -0.4762439E-07
  113     2    342.8057        78.52055        12.73552        8.494721        632.8202      -0.1913380E-06
  114     2    345.0628        79.03756        12.65221        11.88791        830.4369      -0.3121887E-07
  115     2    346.9915        79.47933        12.58189        4.126160        554.4325      -0.7720852E-07
  116     2    352.6170        80.76785        12.38116        4.907951        575.2231       0.1040298E-07
  117     2    353.3967        80.94645        12.35385        10.08588        808.5590      -0.4453528E-06
  118     2    356.4418        81.64393        12.24831        8.730254        639.0242      -0.2079638E-06
  119     2    361.1418        82.72048        12.08891        3.647623        554.2776       0.3482953E-07
  120     2    362.1813        82.95858        12.05421        10.08421        809.7966      -0.5896404E-06
  121     2    366.4736        83.94175        11.91302        6.075659        579.5832      -0.2351474E-06
  122     2    370.3325        84.82563        11.78889        7.082344        616.0152       0.3940173E-06
  123     2    370.4745        84.85816        11.78437        11.71102        829.6268      -0.4918255E-06
  124     2    375.2082        85.94244        11.63569        4.735308        558.5007      -0.1336473E-06
  125     2    378.6806        86.73780        11.52900        10.54434        821.8227      -0.3035604E-06
  126     2    379.9188        87.02140        11.49143        5.611313        568.9627      -0.2726556E-06
  127     2    384.5288        88.07733        11.35366        6.479909        609.1914       0.3223215E-07
  128     2    387.3677        88.72760        11.27045        9.841159        818.3288      -0.5782221E-06
  129     2    388.7426        89.04252        11.23059        6.172646        574.4701      -0.3497175E-06
  130     2    393.6785        90.17311        11.08978        3.950783        555.7013      -0.3743146E-07
  131     2    395.8144        90.66234        11.02994        11.42727        830.7300      -0.6905820E-07
